sent,identifier,headline,param_awareness_level,param_awareness_type,standardized_type,weather_pattern,headline_category
2021-05-20 17:06:34+00:00,2.49.0.1.372.0.210520170634.543989, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-23 13:22:19+00:00,2.49.0.1.372.0.210523132219.560348, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-23 13:25:35+00:00,2.49.0.1.372.0.210523132535.377718, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-23 17:59:25+00:00,2.49.0.1.372.0.210523175925.239918, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-23 18:20:38+00:00,2.49.0.1.372.0.210523182038.445557, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-06-03 13:19:32+00:00,2.49.0.1.372.0.210603131932.420573, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-06-03 13:44:25+00:00,2.49.0.1.372.0.210603134425.479731, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-06-03 16:28:15+00:00,2.49.0.1.372.0.210603162815.071010, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-03 10:57:45+00:00,2.49.0.1.372.0.210703105745.299511, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-03 15:36:59+00:00,2.49.0.1.372.0.210703153659.813745, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-03 15:40:57+00:00,2.49.0.1.372.0.210703154057.839214, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-04 12:45:34+00:00,2.49.0.1.372.0.210704124534.631065, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-04 13:54:04+00:00,2.49.0.1.372.0.210704135404.864668, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-04 14:49:56+00:00,2.49.0.1.372.0.210704144956.523011, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-04 14:51:56+00:00,2.49.0.1.372.0.210704145156.416087, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-12 09:48:45+00:00,2.49.0.1.372.0.210712094845.718348, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-20 07:56:48+00:00,2.49.0.1.372.0.210720075648.391619, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-20 10:35:17+00:00,2.49.0.1.372.0.210720103517.101592, warning for ,3; orange; Severe,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-21 14:38:35+00:00,2.49.0.1.372.0.210721143835.312856, warning for ,3; orange; Severe,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-22 09:52:08+00:00,2.49.0.1.372.0.210722095208.685552, warning for ,3; orange; Severe,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-23 12:15:09+00:00,2.49.0.1.372.0.210723121509.321850, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-23 15:04:47+00:00,2.49.0.1.372.0.210723150447.496538, warning for ,3; orange; Severe,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-26 10:17:06+00:00,2.49.0.1.372.0.210726101706.035356, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-26 15:35:34+00:00,2.49.0.1.372.0.210726153534.142863, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-26 16:10:07+00:00,2.49.0.1.372.0.210726161007.415034, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-26 20:40:36+00:00,2.49.0.1.372.0.210726204036.445862, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-28 12:05:12+00:00,2.49.0.1.372.0.210728120512.648628, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-28 16:13:16+00:00,2.49.0.1.372.0.210728161316.162544, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-28 21:10:12+00:00,2.49.0.1.372.0.210728211012.030912, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-28 22:22:05+00:00,2.49.0.1.372.0.210728222205.727724, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-29 04:42:16+00:00,2.49.0.1.372.0.210729044216.766470, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-29 09:45:08+00:00,2.49.0.1.372.0.210729094508.153164, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-29 11:16:30+00:00,2.49.0.1.372.0.210729111630.671338, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-29 11:22:38+00:00,2.49.0.1.372.0.210729112238.476800, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-29 16:14:36+00:00,2.49.0.1.372.0.210729161436.285282, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-29 19:33:34+00:00,2.49.0.1.372.0.210729193334.768968, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-29 21:59:19+00:00,2.49.0.1.372.0.210729215919.819831, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-04 14:27:12+00:00,2.49.0.1.372.0.210804142712.785714, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-04 15:31:32+00:00,2.49.0.1.372.0.210804153132.827964, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-04 17:04:31+00:00,2.49.0.1.372.0.210804170431.831732, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-04 22:24:46+00:00,2.49.0.1.372.0.210804222446.560707, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-05 04:28:31+00:00,2.49.0.1.372.0.210805042831.067194, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-05 07:53:59+00:00,2.49.0.1.372.0.210805075359.135844, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-05 10:35:08+00:00,2.49.0.1.372.0.210805103508.792789, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-05 11:06:55+00:00,2.49.0.1.372.0.210805110655.383010, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
