sent,headline,param_awareness_level,param_awareness_type,standardized_type,counties,counties_status,weather_pattern,headline_category
2021-07-03 10:57:45+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-03 15:36:59+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-03 15:40:57+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-04 12:45:34+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-04 13:54:04+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-04 14:49:56+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-04 14:51:56+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-12 09:48:45+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-20 07:56:48+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-20 10:35:17+00:00, warning for ,3; orange; Severe,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-21 14:38:35+00:00, warning for ,3; orange; Severe,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-22 09:52:08+00:00, warning for ,3; orange; Severe,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-23 12:15:09+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-23 15:04:47+00:00, warning for ,3; orange; Severe,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-26 10:17:06+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-26 15:35:34+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-26 16:10:07+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-26 20:40:36+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-28 12:05:12+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-28 16:13:16+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-28 21:10:12+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-28 22:22:05+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-29 04:42:16+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-29 09:45:08+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-29 11:16:30+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-29 11:22:38+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-29 16:14:36+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-29 19:33:34+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-07-29 21:59:19+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-04 14:27:12+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-04 15:31:32+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-04 17:04:31+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-04 22:24:46+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-05 04:28:31+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-05 07:53:59+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-05 10:35:08+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-05 11:06:55+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-05 15:48:16+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 10:21:33+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 10:58:01+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 11:09:56+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 13:39:31+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 16:29:17+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 18:39:17+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 18:52:27+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 18:56:09+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 18:58:18+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 19:02:35+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
