event_key,Issue Time,issue_count,first_issue,last_issue,Valid From,Valid To,warning_type,warning_text,location,warning_colour
"2023-07-08 17:45:59+00:00_2023-07-09 19:00:00+00:00_Yellow Thunderstorm_Yellow_Cavan, Donegal, Monaghan, Clare, Connacht",2023-07-08 17:45:59+00:00,1,2023-07-08 17:45:59+00:00,2023-07-08 17:45:59+00:00,2023-07-08 17:45:59+00:00,2023-07-09 19:00:00+00:00,Yellow Thunderstorm,"Scattered thunderstorms with spot flooding and the chance of hail. 

Possible Impacts:
Spot flooding
Poor visibility
Difficult travelling conditions","Cavan, Donegal, Monaghan, Clare, Connacht",Yellow
"2023-07-08 20:57:16+00:00_2023-07-09 01:00:00+00:00_Yellow Thunderstorm_Yellow_Cork, Kerry",2023-07-08 20:57:16+00:00,1,2023-07-08 20:57:16+00:00,2023-07-08 20:57:16+00:00,2023-07-08 20:57:16+00:00,2023-07-09 01:00:00+00:00,Yellow Thunderstorm,"Moderate chance of thunderstorms

Possible impacts:

Spot flooding
Poor visibility
Difficult travelling conditions","Cork, Kerry",Yellow
"2023-07-08 20:57:16+00:00_2023-07-09 19:00:00+00:00_Yellow Thunderstorm_Yellow_Cavan, Donegal, Monaghan, Clare, Connacht",2023-07-08 20:57:16+00:00,1,2023-07-08 20:57:16+00:00,2023-07-08 20:57:16+00:00,2023-07-08 20:57:16+00:00,2023-07-09 19:00:00+00:00,Yellow Thunderstorm,"Scattered thunderstorms with spot flooding and the chance of hail. 

Possible Impacts:
Spot flooding
Poor visibility
Difficult travelling conditions","Cavan, Donegal, Monaghan, Clare, Connacht",Yellow
"2023-07-09 04:33:20+00:00_2023-07-09 08:00:00+00:00_Yellow Thunderstorm_Yellow_Cork, Tipperary, Waterford, Kilkenny",2023-07-09 04:33:20+00:00,1,2023-07-09 04:33:20+00:00,2023-07-09 04:33:20+00:00,2023-07-09 04:33:20+00:00,2023-07-09 08:00:00+00:00,Yellow Thunderstorm,"Moderate chance of isolated thunderstorms. 

Possible impacts:

Spot flooding
Poor visibility
Difficult travelling conditions. ","Cork, Tipperary, Waterford, Kilkenny",Yellow
"2023-07-09 04:33:20+00:00_2023-07-09 19:00:00+00:00_Yellow Thunderstorm_Yellow_Cavan, Donegal, Monaghan, Clare, Connacht",2023-07-09 04:33:20+00:00,1,2023-07-09 04:33:20+00:00,2023-07-09 04:33:20+00:00,2023-07-09 04:33:20+00:00,2023-07-09 19:00:00+00:00,Yellow Thunderstorm,"Scattered thunderstorms with spot flooding and the chance of hail. 

Possible Impacts:
Spot flooding
Poor visibility
Difficult travelling conditions","Cavan, Donegal, Monaghan, Clare, Connacht",Yellow
"2023-07-09 06:35:47+00:00_2023-07-09 10:00:00+00:00_Yellow Thunderstorm_Yellow_Clare, Tipperary, Waterford, Galway, Kilkenny, Laois, Offaly",2023-07-09 06:35:47+00:00,1,2023-07-09 06:35:47+00:00,2023-07-09 06:35:47+00:00,2023-07-09 06:35:47+00:00,2023-07-09 10:00:00+00:00,Yellow Thunderstorm,"Moderate chance of thunderstorms. 

Possible impacts:

Spot flooding
Poor visibility
Difficult travelling conditions.
","Clare, Tipperary, Waterford, Galway, Kilkenny, Laois, Offaly",Yellow
"2023-07-09 06:35:47+00:00_2023-07-09 19:00:00+00:00_Yellow Thunderstorm_Yellow_Cavan, Donegal, Monaghan, Clare, Connacht",2023-07-09 06:35:47+00:00,1,2023-07-09 06:35:47+00:00,2023-07-09 06:35:47+00:00,2023-07-09 06:35:47+00:00,2023-07-09 19:00:00+00:00,Yellow Thunderstorm,"Scattered thunderstorms with spot flooding and the chance of hail. 

Possible Impacts:
Spot flooding
Poor visibility
Difficult travelling conditions","Cavan, Donegal, Monaghan, Clare, Connacht",Yellow
"2023-07-09 08:00:02+00:00_2023-07-09 11:00:00+00:00_Yellow Thunderstorm_Yellow_Galway, Roscommon, Kildare, Laois, Longford, Meath, Offaly, Westmeath, Wicklow",2023-07-09 08:00:02+00:00,1,2023-07-09 08:00:02+00:00,2023-07-09 08:00:02+00:00,2023-07-09 08:00:02+00:00,2023-07-09 11:00:00+00:00,Yellow Thunderstorm,"Moderate chance of thunderstorms.

Possible impacts:

Spot flooding
Poor visibility
Difficult travelling conditions.","Galway, Roscommon, Kildare, Laois, Longford, Meath, Offaly, Westmeath, Wicklow",Yellow
"2023-07-09 08:00:02+00:00_2023-07-09 19:00:00+00:00_Yellow Thunderstorm_Yellow_Cavan, Donegal, Monaghan, Clare, Connacht",2023-07-09 08:00:02+00:00,1,2023-07-09 08:00:02+00:00,2023-07-09 08:00:02+00:00,2023-07-09 08:00:02+00:00,2023-07-09 19:00:00+00:00,Yellow Thunderstorm,"Scattered thunderstorms with spot flooding and the chance of hail. 

Possible Impacts:
Spot flooding
Poor visibility
Difficult travelling conditions","Cavan, Donegal, Monaghan, Clare, Connacht",Yellow
"2023-07-09 09:47:03+00:00_2023-07-09 19:00:00+00:00_Yellow Thunderstorm_Yellow_Cavan, Donegal, Monaghan, Clare, Connacht",2023-07-09 09:47:03+00:00,1,2023-07-09 09:47:03+00:00,2023-07-09 09:47:03+00:00,2023-07-09 09:47:03+00:00,2023-07-09 19:00:00+00:00,Yellow Thunderstorm,"Scattered thunderstorms with spot flooding and the chance of hail. 

Possible Impacts:
Spot flooding
Poor visibility
Difficult travelling conditions","Cavan, Donegal, Monaghan, Clare, Connacht",Yellow
"2023-07-09 10:01:08+00:00_2023-07-09 10:30:00+00:00_Yellow Thunderstorm_Yellow_Cavan, Monaghan",2023-07-09 10:01:08+00:00,1,2023-07-09 10:01:08+00:00,2023-07-09 10:01:08+00:00,2023-07-09 10:01:08+00:00,2023-07-09 10:30:00+00:00,Yellow Thunderstorm,"Moderate chance of thunderstorms.

Possible impacts:

Spot flooding
Poor visibility
Difficult travelling conditions.","Cavan, Monaghan",Yellow
"2023-07-09 10:01:08+00:00_2023-07-09 19:00:00+00:00_Yellow Thunderstorm_Yellow_Cavan, Donegal, Monaghan, Clare, Connacht",2023-07-09 10:01:08+00:00,1,2023-07-09 10:01:08+00:00,2023-07-09 10:01:08+00:00,2023-07-09 10:01:08+00:00,2023-07-09 19:00:00+00:00,Yellow Thunderstorm,"Scattered thunderstorms with spot flooding and the chance of hail. 

Possible Impacts:
Spot flooding
Poor visibility
Difficult travelling conditions","Cavan, Donegal, Monaghan, Clare, Connacht",Yellow
"2023-07-09 10:31:59+00:00_2023-07-09 19:00:00+00:00_Yellow Thunderstorm_Yellow_Cavan, Donegal, Monaghan, Clare, Connacht",2023-07-09 10:31:59+00:00,1,2023-07-09 10:31:59+00:00,2023-07-09 10:31:59+00:00,2023-07-09 10:31:59+00:00,2023-07-09 19:00:00+00:00,Yellow Thunderstorm,"Scattered thunderstorms with spot flooding and the chance of hail. 

Possible Impacts:
Spot flooding
Poor visibility
Difficult travelling conditions","Cavan, Donegal, Monaghan, Clare, Connacht",Yellow
"2023-07-09 14:43:01+00:00_2023-07-09 20:00:00+00:00_Yellow Thunderstorm_Yellow_Cavan, Donegal, Monaghan, Clare, Limerick, Tipperary, Connacht, Kildare, Laois, Longford, Louth, Meath, Offaly, Westmeath",2023-07-09 14:43:01+00:00,1,2023-07-09 14:43:01+00:00,2023-07-09 14:43:01+00:00,2023-07-09 14:43:01+00:00,2023-07-09 20:00:00+00:00,Yellow Thunderstorm,"Scattered thunderstorms will develop this afternoon and evening.

Possible Impacts:
Spot flooding
Poor visibility
Difficult travelling conditions","Cavan, Donegal, Monaghan, Clare, Limerick, Tipperary, Connacht, Kildare, Laois, Longford, Louth, Meath, Offaly, Westmeath",Yellow
