event_key,Issue Time,issue_count,first_issue,last_issue,Valid From,Valid To,warning_type,warning_text,location,warning_colour
2021-01-02 14:00:01+00:00_2021-01-03 10:00:01+00:00_Moderate Low-Temperature warning_Yellow_Ireland,2021-01-02 14:28:11+00:00,4,2021-01-02 14:28:11+00:00,2021-01-03 05:36:45+00:00,2021-01-02 14:00:01+00:00,2021-01-03 10:00:01+00:00,Moderate Low-Temperature warning,"Temperatures will fall to minus 3 or 4 degrees tonight, colder locally away from coasts. This will lead to a widespread hard ground frost and icy surfaces, with potentially dangerous conditions.",Ireland,Yellow
"2021-01-05 13:00:01+00:00_2021-01-06 10:00:01+00:00_Moderate Low-Temperature warning_Yellow_Connacht, Cavan, Monaghan, Donegal, Longford and Clare",2021-01-05 13:18:24+00:00,1,2021-01-05 13:18:24+00:00,2021-01-05 13:18:24+00:00,2021-01-05 13:00:01+00:00,2021-01-06 10:00:01+00:00,Moderate Low-Temperature warning,"Very cold tonight with temperatures falling to between -2 and -5 degrees, possibly colder locally, with a widespread severe frost. Icy patches may form on untreated surfaces. Freezing temperatures will persist well into the day on Wednesday.?","Connacht, Cavan, Monaghan, Donegal, Longford and Clare",Yellow
"2021-01-05 13:22:38+00:00_2021-01-06 10:00:01+00:00_Moderate Low-Temperature warning_Yellow_Connacht, Cavan, Monaghan, Donegal, Longford and Clare",2021-01-05 13:25:36+00:00,4,2021-01-05 13:25:36+00:00,2021-01-06 05:27:18+00:00,2021-01-05 13:22:38+00:00,2021-01-06 10:00:01+00:00,Moderate Low-Temperature warning,"Very cold tonight with temperatures falling to between -2 and -5 degrees, possibly colder locally, with a widespread severe frost. Icy patches may form on untreated surfaces. Freezing temperatures will persist well into the day on Wednesday.","Connacht, Cavan, Monaghan, Donegal, Longford and Clare",Yellow
2021-01-06 11:00:01+00:00_2021-01-07 10:00:01+00:00_Moderate Low-Temperature warning_Yellow_Ireland,2021-01-06 11:27:55+00:00,5,2021-01-06 11:27:55+00:00,2021-01-07 05:04:56+00:00,2021-01-06 11:00:01+00:00,2021-01-07 10:00:01+00:00,Moderate Low-Temperature warning,Very cold with minima widely falling to -3 or -4 degrees Celsius.,Ireland,Yellow
2021-01-06 11:00:01+00:00_2021-01-07 11:00:01+00:00_Moderate Snow-ice warning_Yellow_Ireland,2021-01-06 11:23:35+00:00,6,2021-01-06 11:23:35+00:00,2021-01-07 05:04:56+00:00,2021-01-06 11:00:01+00:00,2021-01-07 11:00:01+00:00,Moderate Snow-ice warning,Snow and ice will lead to treacherous conditions. Some accumulations possible.,Ireland,Yellow
2021-01-07 11:00:01+00:00_2021-01-08 11:00:01+00:00_Moderate Low-Temperature warning_Yellow_Ireland,2021-01-07 11:31:57+00:00,5,2021-01-07 11:31:57+00:00,2021-01-08 05:29:14+00:00,2021-01-07 11:00:01+00:00,2021-01-08 11:00:01+00:00,Moderate Low-Temperature warning,Cold tonight with minimum temperatures of zero to minus 4 degrees. Ice forming on untreated surfaces.,Ireland,Yellow
2021-01-08 11:00:01+00:00_2021-01-09 12:00:01+00:00_Moderate Low-Temperature warning_Yellow_Ireland,2021-01-08 11:32:31+00:00,5,2021-01-08 11:32:31+00:00,2021-01-09 05:28:16+00:00,2021-01-08 11:00:01+00:00,2021-01-09 12:00:01+00:00,Moderate Low-Temperature warning,Hazardous icy conditions in places with a widespread severe frost and pockets of freezing fog. \n\nImproving conditions in the west and northwest from early Saturday morning.,Ireland,Yellow
2021-01-11 08:00:01+00:00_2021-01-12 12:00:01+00:00_Moderate Rainfall warning_Yellow_Mayo and Sligo,2021-01-11 08:39:02+00:00,6,2021-01-11 08:39:02+00:00,2021-01-12 05:40:26+00:00,2021-01-11 08:00:01+00:00,2021-01-12 12:00:01+00:00,Moderate Rainfall warning,Persistent and occasionally heavy rainfall may cause some localised flooding.,Mayo and Sligo,Yellow
"2021-01-17 15:00:01+00:00_2021-01-19 21:00:01+00:00_Moderate Rainfall warning_Yellow_Connacht, Longford, Louth, Westmeath, Meath, Cavan and Monaghan",2021-01-17 15:59:30+00:00,1,2021-01-17 15:59:30+00:00,2021-01-17 15:59:30+00:00,2021-01-17 15:00:01+00:00,2021-01-19 21:00:01+00:00,Moderate Rainfall warning,"Heavy rainfall will lead to accumulations of 30 to 50mm, with higher accumulations in mountainous areas. This will bring a risk of some river and localised flooding.?","Connacht, Longford, Louth, Westmeath, Meath, Cavan and Monaghan",Yellow
"2021-01-17 16:00:01+00:00_2021-01-19 21:00:01+00:00_Moderate Rainfall warning_Yellow_Connacht, Longford, Louth, Westmeath, Meath, Cavan and Monaghan",2021-01-17 16:09:32+00:00,12,2021-01-17 16:09:32+00:00,2021-01-19 17:03:11+00:00,2021-01-17 16:00:01+00:00,2021-01-19 21:00:01+00:00,Moderate Rainfall warning,"Heavy rainfall will lead to accumulations of 30 to 50mm, with higher accumulations in mountainous areas. This will bring a risk of some river and localised flooding.","Connacht, Longford, Louth, Westmeath, Meath, Cavan and Monaghan",Yellow
2021-01-19 11:00:01+00:00_2021-01-19 21:00:01+00:00_Moderate Rainfall warning_Yellow_Donegal,2021-01-19 11:28:19+00:00,4,2021-01-19 11:28:19+00:00,2021-01-19 17:03:11+00:00,2021-01-19 11:00:01+00:00,2021-01-19 21:00:01+00:00,Moderate Rainfall warning,"Heavy rainfall will lead to accumulations of up to 30mm, with higher accumulations in mountainous areas. This will bring a risk of some river and localised flooding.",Donegal,Yellow
2021-01-20 07:00:01+00:00_2021-01-20 19:00:01+00:00_Moderate Snow-ice warning_Yellow_Wicklow,2021-01-20 07:43:48+00:00,4,2021-01-20 07:43:48+00:00,2021-01-20 17:15:23+00:00,2021-01-20 07:00:01+00:00,2021-01-20 19:00:01+00:00,Moderate Snow-ice warning,Falls of sleet and snow today with significant snow accumulations on hills and mountains.,Wicklow,Yellow
"2021-01-22 12:00:01+00:00_2021-01-23 12:00:01+00:00_Moderate Snow-ice warning_Yellow_Cavan, Monaghan, Donegal, Leitrim, Mayo, Roscommon and Sligo",2021-01-22 12:26:04+00:00,6,2021-01-22 12:26:04+00:00,2021-01-23 05:19:16+00:00,2021-01-22 12:00:01+00:00,2021-01-23 12:00:01+00:00,Moderate Snow-ice warning,"Falls of hail, sleet and snow. Icy and hazardous conditions.","Cavan, Monaghan, Donegal, Leitrim, Mayo, Roscommon and Sligo",Yellow
2021-01-22 12:00:01+00:00_2021-01-24 12:00:01+00:00_Moderate Snow-ice warning_Yellow_Ireland,2021-01-22 13:01:37+00:00,16,2021-01-22 13:01:37+00:00,2021-01-24 11:10:51+00:00,2021-01-22 12:00:01+00:00,2021-01-24 12:00:01+00:00,Moderate Snow-ice warning,"Falls of hail, sleet and snow. Icy and hazardous conditions.",Ireland,Yellow
"2021-01-23 13:00:01+00:00_2021-01-23 18:00:01+00:00_Moderate Snow-ice warning_Yellow_Galway, Mayo, Clare, Cork, Kerry and Limerick",2021-01-23 13:24:30+00:00,2,2021-01-23 13:24:30+00:00,2021-01-23 17:11:58+00:00,2021-01-23 13:00:01+00:00,2021-01-23 18:00:01+00:00,Moderate Snow-ice warning,"Wintry showers moving in this afternoon and evening with some falls of hail, sleet and snow. Icy and hazardous conditions.","Galway, Mayo, Clare, Cork, Kerry and Limerick",Yellow
2021-01-24 09:00:01+00:00_2021-01-24 19:00:01+00:00_Moderate Snow-ice warning_Yellow_Ireland,2021-01-24 11:06:38+00:00,4,2021-01-24 11:06:38+00:00,2021-01-24 17:00:10+00:00,2021-01-24 09:00:01+00:00,2021-01-24 19:00:01+00:00,Moderate Snow-ice warning,"UPDATE: Scattered falls of sleet, snow and hail continuing for the rest of today. Icy and hazardous conditions.",Ireland,Yellow
2021-01-24 11:00:01+00:00_2021-01-25 10:00:01+00:00_Moderate Low-Temperature warning_Yellow_Ireland,2021-01-24 11:10:51+00:00,5,2021-01-24 11:10:51+00:00,2021-01-25 05:22:53+00:00,2021-01-24 11:00:01+00:00,2021-01-25 10:00:01+00:00,Moderate Low-Temperature warning,"Icy and very cold with lowest temperatures of -5 to -2 degrees Celsius generally, colder locally.",Ireland,Yellow
"2021-01-25 18:00:01+00:00_2021-01-26 09:00:01+00:00_Moderate Snow-ice warning_Yellow_Cavan, Monaghan, Donegal and Leitrim",2021-01-25 18:29:24+00:00,3,2021-01-25 18:29:24+00:00,2021-01-26 05:29:58+00:00,2021-01-25 18:00:01+00:00,2021-01-26 09:00:01+00:00,Moderate Snow-ice warning,Falls of sleet and snow. Icy and hazardous conditions.,"Cavan, Monaghan, Donegal and Leitrim",Yellow
"2021-01-26 13:00:01+00:00_2021-01-28 06:00:01+00:00_Moderate Rainfall warning_Yellow_Connacht, Cavan, Monaghan, Donegal, Longford, Louth, Westmeath and Meath",2021-01-26 13:44:44+00:00,10,2021-01-26 13:44:44+00:00,2021-01-28 05:30:41+00:00,2021-01-26 13:00:01+00:00,2021-01-28 06:00:01+00:00,Moderate Rainfall warning,Heavy rain. Risk of localised flooding.,"Connacht, Cavan, Monaghan, Donegal, Longford, Louth, Westmeath and Meath",Yellow
2021-01-28 11:00:01+00:00_2021-01-29 06:00:01+00:00_Moderate Wind warning_Yellow_Cork and Kerry,2021-01-28 11:50:34+00:00,9,2021-01-28 11:50:34+00:00,2021-01-29 05:49:15+00:00,2021-01-28 11:00:01+00:00,2021-01-29 06:00:01+00:00,Moderate Wind warning,Westerly winds will increase 50 to 65 km/hr with gusts to around 100 km/hr.,Cork and Kerry,Yellow
2021-01-29 14:00:01+00:00_2021-01-30 15:00:01+00:00_Moderate Rainfall warning_Yellow_Wexford and Wicklow,2021-01-29 14:12:19+00:00,13,2021-01-29 14:12:19+00:00,2021-01-30 13:13:05+00:00,2021-01-29 14:00:01+00:00,2021-01-30 15:00:01+00:00,Moderate Rainfall warning,"Heavy rain, turning wintry at times. Rainfall accumulations of up to 30 to 40mm, with a risk of localised flooding.",Wexford and Wicklow,Yellow
"2021-01-30 13:00:01+00:00_2021-01-31 18:00:01+00:00_Moderate Snow-ice warning_Yellow_Connacht, Cavan, Monaghan, Donegal, Dublin, Carlow, Kildare, Laois, Longford, Louth, Wicklow, Offaly, Westmeath and Meath",2021-01-30 13:13:05+00:00,8,2021-01-30 13:13:05+00:00,2021-01-31 17:07:12+00:00,2021-01-30 13:00:01+00:00,2021-01-31 18:00:01+00:00,Moderate Snow-ice warning,Wintry falls with some accumulations possible.,"Connacht, Cavan, Monaghan, Donegal, Dublin, Carlow, Kildare, Laois, Longford, Louth, Wicklow, Offaly, Westmeath and Meath",Yellow
2021-01-31 13:00:01+00:00_2021-02-01 10:00:01+00:00_Moderate Snow-ice warning_Yellow_Donegal,2021-01-31 13:57:28+00:00,6,2021-01-31 13:57:28+00:00,2021-02-01 05:48:14+00:00,2021-01-31 13:00:01+00:00,2021-02-01 10:00:01+00:00,Moderate Snow-ice warning,"Wintry falls, with some accumulations possible and icy patches on untreated surfaces.",Donegal,Yellow
"2021-02-01 12:00:01+00:00_2021-02-02 23:59:01+00:00_Moderate Rainfall warning_Yellow_Donegal, Galway, Leitrim, Mayo and Sligo",2021-02-01 12:26:56+00:00,7,2021-02-01 12:26:56+00:00,2021-02-02 05:26:32+00:00,2021-02-01 12:00:01+00:00,2021-02-02 23:59:01+00:00,Moderate Rainfall warning,"Heavy rain on Monday night followed by frequent showers during Tuesday will give rainfall accumulations of around 30 to 40mm, bringing a risk of localised flooding.","Donegal, Galway, Leitrim, Mayo and Sligo",Yellow
"2021-02-08 16:00:01+00:00_2021-02-09 18:00:01+00:00_Moderate Snow-ice warning_Yellow_Dublin, Kildare, Louth, Wicklow, Meath and Monaghan",2021-02-08 17:06:06+00:00,12,2021-02-08 17:06:06+00:00,2021-02-09 05:24:13+00:00,2021-02-08 16:00:01+00:00,2021-02-09 18:00:01+00:00,Moderate Snow-ice warning,Snow accumulations of 2 to 5 cm in places.,"Dublin, Kildare, Louth, Wicklow, Meath and Monaghan",Yellow
"2021-02-09 08:08:04+00:00_2021-02-10 18:00:01+00:00_Moderate Snow-ice warning_Yellow_Dublin, Kildare, Louth, Wicklow, Westmeath, Meath, Cavan and Monaghan",2021-02-09 08:11:40+00:00,1,2021-02-09 08:11:40+00:00,2021-02-09 08:11:40+00:00,2021-02-09 08:08:04+00:00,2021-02-10 18:00:01+00:00,Moderate Snow-ice warning,Snow accumulations of 2 to 5 cm in places.,"Dublin, Kildare, Louth, Wicklow, Westmeath, Meath, Cavan and Monaghan",Yellow
"2021-02-09 10:00:01+00:00_2021-02-12 08:00:01+00:00_Moderate Snow-ice warning_Yellow_Munster, Connacht and Leinster",2021-02-09 10:49:26+00:00,24,2021-02-09 10:49:26+00:00,2021-02-11 13:13:17+00:00,2021-02-09 10:00:01+00:00,2021-02-12 08:00:01+00:00,Moderate Snow-ice warning,"A band of sleet and snow spreading northeastwards during Thursday giving snow accumulations of up to 5cm in some areas (higher over the mountains), but transitioning to rain in the west and south on Thursday night.","Munster, Connacht and Leinster",Yellow
"2021-02-09 10:36:45+00:00_2021-02-10 18:00:01+00:00_Moderate Snow-ice warning_Yellow_Louth, Westmeath, Meath, Cavan and Monaghan",2021-02-09 10:43:01+00:00,8,2021-02-09 10:43:01+00:00,2021-02-10 05:18:32+00:00,2021-02-09 10:36:45+00:00,2021-02-10 18:00:01+00:00,Moderate Snow-ice warning,Snow accumulations of 2 to 5 cm in places.,"Louth, Westmeath, Meath, Cavan and Monaghan",Yellow
"2021-02-10 08:00:01+00:00_2021-02-10 21:00:01+00:00_Moderate Snow-ice warning_Yellow_Dublin, Kildare, Louth, Wexford, Wicklow, Westmeath, Meath, Cavan, Monaghan and Waterford",2021-02-10 08:29:27+00:00,4,2021-02-10 08:29:27+00:00,2021-02-10 15:47:36+00:00,2021-02-10 08:00:01+00:00,2021-02-10 21:00:01+00:00,Moderate Snow-ice warning,Scattered hail and snow showers today with some accumulations in places and icy stretches on untreated surfaces.,"Dublin, Kildare, Louth, Wexford, Wicklow, Westmeath, Meath, Cavan, Monaghan and Waterford",Yellow
"2021-02-10 08:00:01+00:00_2021-02-10 21:00:01+00:00_Moderate Snow-ice warning_Yellow_Dublin, Kildare, Wexford, Wicklow, Westmeath, Meath, Cavan, Monaghan and Waterford",2021-02-10 08:26:40+00:00,2,2021-02-10 08:26:40+00:00,2021-02-10 08:29:27+00:00,2021-02-10 08:00:01+00:00,2021-02-10 21:00:01+00:00,Moderate Snow-ice warning,Scattered hail and snow showers today with some accumulations in places and icy stretches on untreated surfaces.,"Dublin, Kildare, Wexford, Wicklow, Westmeath, Meath, Cavan, Monaghan and Waterford",Yellow
"2021-02-10 15:00:01+00:00_2021-02-12 08:00:01+00:00_Moderate Wind warning_Yellow_Munster, Connacht and Leinster",2021-02-10 15:47:36+00:00,14,2021-02-10 15:47:36+00:00,2021-02-11 17:53:05+00:00,2021-02-10 15:00:01+00:00,2021-02-12 08:00:01+00:00,Moderate Wind warning,"Strong to gale force southeast winds in conjunction with rain, sleet and snow will lead to poor visibility and hazardous conditions.","Munster, Connacht and Leinster",Yellow
"2021-02-10 16:43:07+00:00_2021-02-10 20:00:01+00:00_Moderate Snow-ice warning_Yellow_Dublin, Louth, Meath, Cavan and Monaghan",2021-02-10 16:47:04+00:00,3,2021-02-10 16:47:04+00:00,2021-02-10 17:16:55+00:00,2021-02-10 16:43:07+00:00,2021-02-10 20:00:01+00:00,Moderate Snow-ice warning,Update: Scattered hail or snow showers continuing for a time this evening with some accumulations in places and icy stretches on untreated surfaces.,"Dublin, Louth, Meath, Cavan and Monaghan",Yellow
"2021-02-11 12:00:01+00:00_2021-02-13 12:00:01+00:00_Moderate Rainfall warning_Yellow_Cork, Kerry and Waterford",2021-02-11 12:43:40+00:00,15,2021-02-11 12:43:40+00:00,2021-02-13 05:20:04+00:00,2021-02-11 12:00:01+00:00,2021-02-13 12:00:01+00:00,Moderate Rainfall warning,30 to 40 mm of rainfall with strong to gale force onshore southeast winds. River and coastal flooding risk.,"Cork, Kerry and Waterford",Yellow
"2021-02-11 12:00:01+00:00_2021-02-13 12:00:01+00:00_Moderate Snow-ice warning_Yellow_Connacht, Leinster, Cavan, Monaghan and Donegal",2021-02-11 12:46:16+00:00,17,2021-02-11 12:46:16+00:00,2021-02-13 11:50:31+00:00,2021-02-11 12:00:01+00:00,2021-02-13 12:00:01+00:00,Moderate Snow-ice warning,"Snow accumulations of 5 cm possible (more on higher ground), accompanied by fresh to strong southeast winds.","Connacht, Leinster, Cavan, Monaghan and Donegal",Yellow
"2021-02-11 17:11:13+00:00_2021-02-12 08:00:01+00:00_Moderate Snow-ice warning_Yellow_Connacht, Carlow, Kildare, Kilkenny, Laois, Longford, Wexford, Wicklow, Offaly, Westmeath, Clare and Tipperary",2021-02-11 17:17:51+00:00,6,2021-02-11 17:17:51+00:00,2021-02-12 05:28:58+00:00,2021-02-11 17:11:13+00:00,2021-02-12 08:00:01+00:00,Moderate Snow-ice warning,UPDATE: A slow-moving band of sleet and snow will continue to give some further snow accumulations overnight.,"Connacht, Carlow, Kildare, Kilkenny, Laois, Longford, Wexford, Wicklow, Offaly, Westmeath, Clare and Tipperary",Yellow
"2021-02-12 12:00:01+00:00_2021-02-13 09:00:01+00:00_Moderate Wind warning_Yellow_Donegal, Galway, Leitrim, Mayo, Sligo, Clare, Cork, Kerry and Waterford",2021-02-12 12:16:35+00:00,6,2021-02-12 12:16:35+00:00,2021-02-13 05:20:04+00:00,2021-02-12 12:00:01+00:00,2021-02-13 09:00:01+00:00,Moderate Wind warning,"Strong southeasterly winds tonight, with mean speeds of 50 to 60 km/h and gusts to 90 km/h. Where winds are onshore there is a risk of coastal flooding.","Donegal, Galway, Leitrim, Mayo, Sligo, Clare, Cork, Kerry and Waterford",Yellow
"2021-02-12 13:00:01+00:00_2021-02-14 18:00:01+00:00_Moderate Wind warning_Yellow_Dublin, Louth, Wexford, Wicklow, Meath, Donegal, Galway, Leitrim, Mayo, Sligo, Clare, Cork, Kerry, Limerick and Waterford",2021-02-12 13:43:52+00:00,5,2021-02-12 13:43:52+00:00,2021-02-13 09:50:58+00:00,2021-02-12 13:00:01+00:00,2021-02-14 18:00:01+00:00,Moderate Wind warning,Very windy on Sunday with strong to gale force southerly winds veering southwesterly. Where winds are onshore there is a risk of coastal flooding around high tide. There is also a risk of more severe gusts for a time in parts of the west.,"Dublin, Louth, Wexford, Wicklow, Meath, Donegal, Galway, Leitrim, Mayo, Sligo, Clare, Cork, Kerry, Limerick and Waterford",Yellow
"2021-02-13 11:00:01+00:00_2021-02-14 16:00:01+00:00_Moderate Wind warning_Yellow_Carlow, Kildare, Kilkenny, Laois, Longford, Offaly, Westmeath, Cavan, Monaghan, Roscommon and Tipperary",2021-02-13 11:50:31+00:00,12,2021-02-13 11:50:31+00:00,2021-02-14 15:13:08+00:00,2021-02-13 11:00:01+00:00,2021-02-14 16:00:01+00:00,Moderate Wind warning,Very windy with southerly winds reaching mean speeds of 50 to 60km/h and gusts of 80 to 90km/h.,"Carlow, Kildare, Kilkenny, Laois, Longford, Offaly, Westmeath, Cavan, Monaghan, Roscommon and Tipperary",Yellow
"2021-02-13 11:00:01+00:00_2021-02-14 16:00:01+00:00_Severe Wind warning_Orange_Donegal, Galway and Mayo",2021-02-13 11:50:31+00:00,2,2021-02-13 11:50:31+00:00,2021-02-13 12:35:18+00:00,2021-02-13 11:00:01+00:00,2021-02-14 16:00:01+00:00,Severe Wind warning,"South to southwest winds will reach mean speeds of 65 to 80km/h with severe gusts in excess of 110km/h in the west. Where winds are onshore, there is a risk of coastal flooding.","Donegal, Galway and Mayo",Orange
"2021-02-13 11:42:45+00:00_2021-02-14 17:00:01+00:00_Moderate Wind warning_Yellow_Dublin, Louth, Wexford, Wicklow, Meath, Donegal, Galway, Leitrim, Mayo, Sligo, Clare, Cork, Kerry, Limerick and Waterford",2021-02-13 11:47:45+00:00,13,2021-02-13 11:47:45+00:00,2021-02-14 15:13:08+00:00,2021-02-13 11:42:45+00:00,2021-02-14 17:00:01+00:00,Moderate Wind warning,Very windy with southerly winds reaching mean speeds of 50 to 65km/h and gusts of 90 to 110km/h. Where winds are onshore there is a risk of coastal flooding around high tide.,"Dublin, Louth, Wexford, Wicklow, Meath, Donegal, Galway, Leitrim, Mayo, Sligo, Clare, Cork, Kerry, Limerick and Waterford",Yellow
"2021-02-13 17:30:49+00:00_2021-02-14 15:00:01+00:00_Severe Wind warning_Orange_Donegal, Galway and Mayo",2021-02-13 17:35:27+00:00,7,2021-02-13 17:35:27+00:00,2021-02-14 12:40:50+00:00,2021-02-13 17:30:49+00:00,2021-02-14 15:00:01+00:00,Severe Wind warning,"Update: South to southwest winds will reach mean speeds of 65 to 80km/h with severe gusts in excess of 110km/h in the west. Where winds are onshore, there is a risk of coastal flooding.","Donegal, Galway and Mayo",Orange
"2021-02-14 16:00:01+00:00_2021-02-16 09:00:01+00:00_Moderate Wind warning_Yellow_Donegal, Galway and Mayo",2021-02-14 17:02:16+00:00,6,2021-02-14 17:02:16+00:00,2021-02-15 05:19:40+00:00,2021-02-14 16:00:01+00:00,2021-02-16 09:00:01+00:00,Moderate Wind warning,Southwesterly winds will reach mean speeds of 50 to 65km/h and gusts of 90 to 110km/h. Where winds are onshore there is a risk of coastal flooding around high tide.,"Donegal, Galway and Mayo",Yellow
"2021-02-15 09:23:06+00:00_2021-02-16 08:00:01+00:00_Moderate Wind warning_Yellow_Donegal, Galway, Mayo and Sligo",2021-02-15 09:28:44+00:00,9,2021-02-15 09:28:44+00:00,2021-02-16 06:17:20+00:00,2021-02-15 09:23:06+00:00,2021-02-16 08:00:01+00:00,Moderate Wind warning,"Update: Southwesterly winds will reach mean speeds of 50 to 65km/h and gusts of 90 to 110km/h, possibly higher in exposed coastal fringes. Where winds are onshore there is a risk of coastal flooding around high tide.","Donegal, Galway, Mayo and Sligo",Yellow
"2021-02-16 11:00:01+00:00_2021-02-17 08:00:01+00:00_Moderate Wind warning_Yellow_Donegal, Galway and Mayo",2021-02-16 11:29:41+00:00,10,2021-02-16 11:29:41+00:00,2021-02-17 05:21:57+00:00,2021-02-16 11:00:01+00:00,2021-02-17 08:00:01+00:00,Moderate Wind warning,"Southwesterly winds tonight will reach mean speeds of 50 to 65km/h and gusts of 80 to 100km/h, highest in coastal areas. Where winds are onshore there is a risk of coastal flooding around high tide.","Donegal, Galway and Mayo",Yellow
"2021-02-17 09:00:01+00:00_2021-02-18 05:00:01+00:00_Moderate Wind warning_Yellow_Wexford, Wicklow and Waterford",2021-02-17 09:47:52+00:00,8,2021-02-17 09:47:52+00:00,2021-02-17 23:26:33+00:00,2021-02-17 09:00:01+00:00,2021-02-18 05:00:01+00:00,Moderate Wind warning,"Southerly winds tonight will reach mean speeds of 50 to 60km/h with gusts of 80 to 100km/h, highest in coastal areas. Where winds are onshore there is a risk of coastal flooding around high tide.","Wexford, Wicklow and Waterford",Yellow
"2021-02-22 10:25:40+00:00_2021-02-23 21:00:00+00:00_Orange Rain_Orange_Cork, Kerry, Tipperary, Waterford",2021-02-22 10:25:59+00:00,1,2021-02-22 10:25:59+00:00,2021-02-22 10:25:59+00:00,2021-02-22 10:25:40+00:00,2021-02-23 21:00:00+00:00,Orange Rain,"Very heavy rain on Monday night and Tuesday will likely cause further river flooding and surface water flooding. Rainfall totals of 50 to 80mm, higher in mountainous regions.","Cork, Kerry, Tipperary, Waterford",Orange
"2021-02-22 10:25:59+00:00_2021-02-23 06:00:00+00:00_Yellow Wind_Yellow_Carlow, Kilkenny, Wexford, Munster, Donegal, Galway, Mayo, Sligo",2021-02-22 10:25:59+00:00,1,2021-02-22 10:25:59+00:00,2021-02-22 10:25:59+00:00,2021-02-22 10:25:59+00:00,2021-02-23 06:00:00+00:00,Yellow Wind,"Southerly winds will reach mean wind speeds of 50 to 65km/h, with gusts of 90 to 110km/h, possibly higher on exposed coasts. Where winds are onshore there is a risk of coastal flooding. ​","Carlow, Kilkenny, Wexford, Munster, Donegal, Galway, Mayo, Sligo",Yellow
"2021-02-22 10:25:59+00:00_2021-02-23 21:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Monaghan, Clare, Limerick, Connacht",2021-02-22 10:25:59+00:00,1,2021-02-22 10:25:59+00:00,2021-02-22 10:25:59+00:00,2021-02-22 10:25:59+00:00,2021-02-23 21:00:00+00:00,Yellow Rain,"Heavy rain on Monday night and Tuesday will lead to some river flooding and localised surface flooding. Rainfall totals of 30 to 50mm, higher in mountainous regions.","Leinster, Cavan, Monaghan, Clare, Limerick, Connacht",Yellow
"2021-02-22 18:19:07+00:00_2021-02-23 21:00:00+00:00_Orange Rain_Orange_Cork, Kerry, Tipperary, Waterford",2021-02-22 18:20:11+00:00,1,2021-02-22 18:20:11+00:00,2021-02-22 18:20:11+00:00,2021-02-22 18:19:07+00:00,2021-02-23 21:00:00+00:00,Orange Rain,"Very heavy rain on Monday night and Tuesday will likely cause further river flooding and surface water flooding. Rainfall totals of 50 to 80mm, higher in mountainous regions.","Cork, Kerry, Tipperary, Waterford",Orange
"2021-02-22 18:20:11+00:00_2021-02-23 06:00:00+00:00_Yellow Wind_Yellow_Carlow, Kilkenny, Wexford, Munster, Donegal, Galway, Mayo, Sligo",2021-02-22 18:20:11+00:00,1,2021-02-22 18:20:11+00:00,2021-02-22 18:20:11+00:00,2021-02-22 18:20:11+00:00,2021-02-23 06:00:00+00:00,Yellow Wind,"Southerly winds will reach mean wind speeds of 50 to 65km/h, with gusts of 90 to 110km/h, possibly higher on exposed coasts. Where winds are onshore there is a risk of coastal flooding. ​","Carlow, Kilkenny, Wexford, Munster, Donegal, Galway, Mayo, Sligo",Yellow
"2021-02-22 18:20:11+00:00_2021-02-23 18:00:00+00:00_Yellow Wind_Yellow_Leinster, Munster, Donegal, Galway, Mayo",2021-02-22 18:20:11+00:00,1,2021-02-22 18:20:11+00:00,2021-02-22 18:20:11+00:00,2021-02-22 18:20:11+00:00,2021-02-23 18:00:00+00:00,Yellow Wind,"South to southwest winds will reach mean wind speeds of 50 to 65km/h, with gusts of 90 to 110km/h. Where winds are onshore there is a risk of coastal flooding.","Leinster, Munster, Donegal, Galway, Mayo",Yellow
"2021-02-22 18:20:11+00:00_2021-02-23 21:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Monaghan, Clare, Limerick, Connacht",2021-02-22 18:20:11+00:00,1,2021-02-22 18:20:11+00:00,2021-02-22 18:20:11+00:00,2021-02-22 18:20:11+00:00,2021-02-23 21:00:00+00:00,Yellow Rain,"Heavy rain on Monday night and Tuesday will lead to some river flooding and localised surface flooding. Rainfall totals of 30 to 50mm, higher in mountainous regions.","Leinster, Cavan, Monaghan, Clare, Limerick, Connacht",Yellow
"2021-02-22 20:06:35+00:00_2021-02-23 21:00:00+00:00_Orange Rain_Orange_Cork, Kerry, Tipperary, Waterford",2021-02-22 20:07:10+00:00,1,2021-02-22 20:07:10+00:00,2021-02-22 20:07:10+00:00,2021-02-22 20:06:35+00:00,2021-02-23 21:00:00+00:00,Orange Rain,"Very heavy rain on Monday night and Tuesday will likely cause further river flooding and surface water flooding. Rainfall totals of 50 to 80mm, higher in mountainous regions.","Cork, Kerry, Tipperary, Waterford",Orange
"2021-02-22 20:07:10+00:00_2021-02-23 06:00:00+00:00_Yellow Wind_Yellow_Carlow, Kilkenny, Wexford, Munster, Donegal, Galway, Mayo, Sligo",2021-02-22 20:07:10+00:00,1,2021-02-22 20:07:10+00:00,2021-02-22 20:07:10+00:00,2021-02-22 20:07:10+00:00,2021-02-23 06:00:00+00:00,Yellow Wind,"Southerly winds will reach mean wind speeds of 50 to 65km/h, with gusts of 90 to 110km/h, possibly higher on exposed coasts. Where winds are onshore there is a risk of coastal flooding. ​","Carlow, Kilkenny, Wexford, Munster, Donegal, Galway, Mayo, Sligo",Yellow
