Feature,Gain,Cumulative Gain,Cumulative Gain %
total,1655.4930419921875,1655.4930419921875,35.41635050431402
male,1111.9129638671875,2767.406005859375,59.20376504471098
population,919.013671875,3686.419677734375,78.86443983813317
female,510.55865478515625,4196.978332519531,89.78694075612101
age_group,410.7890625,4607.767395019531,98.57504741184636
gender,66.60762786865234,4674.375022888184,100.0
