id,name,irish_name,county,country,type
18505,Curraghlehanagh,Currach Leitheanach,Galway,Republic of Ireland,Townland
18506,Curraghleha West,Currach Liath Thoir,Kerry,Republic of Ireland,Townland
18507,Curraghleigh,An Currach Liath,Tipperary,Republic of Ireland,Townland
18508,Curraghleigh,An Currach Liath,Tipperary,Republic of Ireland,Townland
18509,Curragh Lower,An Currach Íochtarach,Cork,Republic of Ireland,Townland
18510,Curragh Lower,An Currach Íochtarach,Offaly,Republic of Ireland,Townland
18511,Curraghmacdonagh,Currach Mhic Dhonncha,Kerry,Republic of Ireland,Townland
18512,Curraghmarky,Currach Marcaigh,Tipperary,Republic of Ireland,Townland
18513,Curraghmartin,Currach Máirtín,Kilkenny,Republic of Ireland,Townland
18514,Curraghmartin,Currach Mhártain,Leitrim,Republic of Ireland,Townland
18515,Curraghmeelagh,An Currach Míolach,Offaly,Republic of Ireland,Townland
18516,Curraghmoghaun,Currach Múcháin,Clare,Republic of Ireland,Townland
18517,Curraghmore,,Cavan,Republic of Ireland,Townland
18518,Curraghmore,An Currach Mór,Galway,Republic of Ireland,Townland
18519,Curraghmore,An Currach Mór,Galway,Republic of Ireland,Townland
18520,Curraghmore,An Currach Mór,Kilkenny,Republic of Ireland,Townland
18521,Curraghmore,An Currach Mór,Kilkenny,Republic of Ireland,Townland
18522,Curraghmore,,Laois,Republic of Ireland,Townland
18523,Curraghmore,An Currach Mór,Longford,Republic of Ireland,Townland
18524,Curraghmore,,Mayo,Republic of Ireland,Townland
18525,Curraghmore,,Mayo,Republic of Ireland,Townland
18526,Curraghmore,An Currach Mór,Offaly,Republic of Ireland,Townland
18527,Curraghmore,An Currach Mór,Offaly,Republic of Ireland,Townland
18528,Curraghmore,An Currach Mór,Sligo,Republic of Ireland,Townland
18529,Curraghmore,An Currach Mór,Tipperary,Republic of Ireland,Townland
18530,Curraghmore,An Currach Mór,Tipperary,Republic of Ireland,Townland
18531,Curraghmore,An Currach Mór,Tipperary,Republic of Ireland,Townland
18532,Curraghmore,An Currach Mór,Waterford,Republic of Ireland,Townland
18533,Curraghmore,,Westmeath,Republic of Ireland,Townland
18534,Curraghmore,,Wexford,Republic of Ireland,Townland
18535,Curragh More,An Currach Mór,Cork,Republic of Ireland,Townland
18536,Curragh More,An Currach Mór,Galway,Republic of Ireland,Townland
18537,Curragh More,An Currach Mór,Galway,Republic of Ireland,Townland
18538,Curragh More,An Currach Mór,Kerry,Republic of Ireland,Townland
18539,Curraghmore East,An Currach Mór Thoir,Kerry,Republic of Ireland,Townland
