id,name,irish_name,county,country,type
1,Abartagh,Abartach,Waterford,Republic of Ireland,Townland
2,Abberanville,Abberanville,Galway,Republic of Ireland,Townland
3,Abbernadoorny,,Donegal,Republic of Ireland,Townland
4,Abbert,An Abart,Galway,Republic of Ireland,Townland
5,Abbert Demesne,Diméin na hAbarta,Galway,Republic of Ireland,Townland
6,Abbeville,Baile an Phíopaire,Tipperary,Republic of Ireland,Townland
7,Abbey,An Mhainistir,Cork,Republic of Ireland,Townland
8,Abbey,An Mhainistir,Galway,Republic of Ireland,Town/Village
9,Abbey,An Mhainistir,Galway,Republic of Ireland,Town/Village
10,Abbey,An Mhainistir,Limerick,Republic of Ireland,Townland
11,Abbeycartron,Cartrún na Mainistreach,Longford,Republic of Ireland,Townland
12,Abbeycartron,,Roscommon,Republic of Ireland,Townland
13,Abbeyderg,Mainistir Dhearg,Longford,Republic of Ireland,Townland
14,Abbeydorney,Mainistir Ó dTorna,Kerry,Republic of Ireland,Town/Village
15,Abbeydown,,Wexford,Republic of Ireland,Townland
16,Abbey East,An Mhainistir Thoir,Clare,Republic of Ireland,Townland
17,Abbeyfarm,Feirm na Mainistreach,Limerick,Republic of Ireland,Townland
18,Abbeyfeale,Mainistir na Féile,Limerick,Republic of Ireland,Town/Village
19,Abbeyfeale East,Mainistir na Féile Thoir,Limerick,Republic of Ireland,Townland
20,Abbeyfeale West,Mainistir na Féile Thiar,Limerick,Republic of Ireland,Townland
21,Abbeyfield,An Mhainistir,Galway,Republic of Ireland,Townland
22,Abbeygormacan,Mainistir Ó gCormacáin,Galway,Republic of Ireland,Townland
23,Abbeygrove,Garrán na Manach,Kilkenny,Republic of Ireland,Townland
24,Abbeyhalfquarter,,Mayo,Republic of Ireland,Townland
25,Abbey Island,,Donegal,Republic of Ireland,Townland
26,Abbey Island,,Kerry,Republic of Ireland,Townland
27,Abbeyland,,Cavan,Republic of Ireland,Townland
28,Abbeyland,Fearann na Mainistreach,Kildare,Republic of Ireland,Townland
29,Abbeyland,,Kildare,Republic of Ireland,Townland
30,Abbeyland,Fearann na Mainistreach,Meath,Republic of Ireland,Townland
31,Abbeyland,Fearann na Mainistreach,Meath,Republic of Ireland,Townland
32,Abbeyland,,Westmeath,Republic of Ireland,Townland
33,Abbey Land,Fearann na Mainistreach,Longford,Republic of Ireland,Townland
34,Abbeyland And Charlestown,,Westmeath,Republic of Ireland,Townland
35,Abbeyland Great,Fearann na Mainistreach Mór,Galway,Republic of Ireland,Townland
36,Abbeyland Little,Fearann na Mainistreach Beag,Galway,Republic of Ireland,Townland
37,Abbeyland North,Fearann na Mainistreach Thuaidh,Galway,Republic of Ireland,Townland
38,Abbeylands,,Donegal,Republic of Ireland,Townland
39,Abbeylands,Fearann na Mainistreach,Kerry,Republic of Ireland,Townland
40,Abbeylands,Fearann na Mainistreach,Kilkenny,Republic of Ireland,Townland
41,Abbeylands,Cluain na mBráthar,Limerick,Republic of Ireland,Townland
42,Abbeylands,,Mayo,Republic of Ireland,Townland
43,Abbeylands,,Wicklow,Republic of Ireland,Townland
44,Abbey-Lands,Fearann na Mainistreach,Cork,Republic of Ireland,Townland
45,Abbeyland South,Fearann na Mainistreach Theas,Galway,Republic of Ireland,Townland
46,Abbeyland South,Fearann na Mainistreach Theas,Meath,Republic of Ireland,Townland
47,Abbeylara,Mainistir Leathrátha,Longford,Republic of Ireland,Town/Village
48,Abbeyleix,Mainistir Laoise,Laois,Republic of Ireland,Town/Village
49,Abbeyleix Demesne,,Laois,Republic of Ireland,Townland
50,Abbeymahon,Mainistir Ó mBána,Cork,Republic of Ireland,Townland
51,Abbeypark,Páirc na Mainistreach,Galway,Republic of Ireland,Townland
52,Abbeyquarter,Ceathrú na Mainistreach,Mayo,Republic of Ireland,Townland
53,Abbeyquarter North,,Sligo,Republic of Ireland,Townland
54,Abbeyquarter South,,Sligo,Republic of Ireland,Townland
55,Abbeyshrule,Mainistir Shruthla,Longford,Republic of Ireland,Town/Village
56,Abbeyside,Dún na Mainistreach,Waterford,Republic of Ireland,Townland
57,Abbeystrowry,Mainistir na Sruthrach,Cork,Republic of Ireland,Townland
58,Abbeytown,Baile na Mainistreach,Galway,Republic of Ireland,Townland
59,Abbeytown,Baile na Mainistreach,Mayo,Republic of Ireland,Townland
60,Abbeytown,,Sligo,Republic of Ireland,Townland
61,Abbeyville,Abbeyville,Dublin,Republic of Ireland,Townland
62,Abbeyville,Baile na Mainistreach,Galway,Republic of Ireland,Townland
63,Abbeyville,,Sligo,Republic of Ireland,Townland
64,Abbey West,An Mhainistir Thiar,Clare,Republic of Ireland,Townland
65,Abbotstown,Baile an Aba,Dublin,Republic of Ireland,Townland
66,Abelstown,,Meath,Republic of Ireland,Townland
67,Abington,Mainistir Uaithne,Limerick,Republic of Ireland,Townland
68,Ablintown,,Wexford,Republic of Ireland,Townland
69,Acantha,Áth an Chiontaigh,Offaly,Republic of Ireland,Townland
70,Acarreagh,An tAcra Riabhach,Louth,Republic of Ireland,Townland
71,Acaun,,Carlow,Republic of Ireland,Townland
72,Achillbeg Island,Acaill Bheag,Mayo,Republic of Ireland,Townland
73,Achill Sound,Gob an Choire,Mayo,Republic of Ireland,Town/Village
74,Achonry,Achadh Conaire,Sligo,Republic of Ireland,Town/Village
75,Ackeys Island,Oileán Acaí,Donegal,Republic of Ireland,Townland
76,Aclamon,,Wexford,Republic of Ireland,Townland
77,Aclare,,Carlow,Republic of Ireland,Townland
78,Aclare,Áth an Chláir,Sligo,Republic of Ireland,Town/Village
79,Aclint,Beal Átha Claonta,Louth,Republic of Ireland,Townland
80,Acraboy,An tAcra Buí,Tipperary,Republic of Ireland,Townland
81,Acragar,An tAcra Gearr,Kilkenny,Republic of Ireland,Townland
82,Acragar,An tAcra Gearr,Laois,Republic of Ireland,Townland
83,Acraroe,Na hAcraí Rua,Kilkenny,Republic of Ireland,Townland
84,Acre Beg,An tAcra Beag,Galway,Republic of Ireland,Townland
85,Acre East,An tAcra Thoir,Galway,Republic of Ireland,Townland
86,Acre More,An tAcra Mór,Galway,Republic of Ireland,Townland
87,Acrenakirka,Acra an Chircigh,Tipperary,Republic of Ireland,Townland
88,Acres,,Cavan,Republic of Ireland,Townland
89,Acres,Na hAcraí,Clare,Republic of Ireland,Townland
90,Acres,,Clare,Republic of Ireland,Townland
91,Acres,,Clare,Republic of Ireland,Townland
92,Acres,Na hAcraí,Cork,Republic of Ireland,Townland
93,Acres,Na hAcraí,Cork,Republic of Ireland,Townland
94,Acres,Na hAcraí,Cork,Republic of Ireland,Townland
95,Acres,Na hAcraí,Cork,Republic of Ireland,Townland
96,Acres,Na hAcraí,Cork,Republic of Ireland,Townland
97,Acres,Na hAcraí,Cork,Republic of Ireland,Townland
98,Acres,Na hAcraí,Cork,Republic of Ireland,Townland
99,Acres,Na hAcraí,Galway,Republic of Ireland,Townland
100,Acres,Na hAcraí,Galway,Republic of Ireland,Townland
101,Acres,Na hAcraí,Galway,Republic of Ireland,Townland
102,Acres,Na hAcraí,Kerry,Republic of Ireland,Townland
103,Acres,Na hAcraí,Kerry,Republic of Ireland,Townland
104,Acres,,Kerry,Republic of Ireland,Townland
105,Acres,Na hAcraí,Leitrim,Republic of Ireland,Townland
106,Acres,Na hAcraí,Leitrim,Republic of Ireland,Townland
107,Acres,Na hAcraí,Limerick,Republic of Ireland,Townland
108,Acres,Na hAcraí,Longford,Republic of Ireland,Townland
109,Acres,Na hAcraí,Mayo,Republic of Ireland,Townland
110,Acres,Na hAcraí,Monaghan,Republic of Ireland,Townland
111,Acres,Na hAcraí,Monaghan,Republic of Ireland,Townland
112,Acres,Na hAcraí,Roscommon,Republic of Ireland,Townland
113,Acres,,Roscommon,Republic of Ireland,Townland
114,Acres,Na hAcraí,Waterford,Republic of Ireland,Townland
115,Acre West,An tAcra Thiar,Galway,Republic of Ireland,Townland
116,Adamstown,Baile Adaim,Cork,Republic of Ireland,Townland
117,Adamstown,Baile Adaim,Dublin,Republic of Ireland,Townland
118,Adamstown,Baile Adaim,Dublin,Republic of Ireland,Townland
119,Adamstown,Baile Adaim,Limerick,Republic of Ireland,Townland
120,Adamstown,Baile Adaim,Louth,Republic of Ireland,Townland
121,Adamstown,,Meath,Republic of Ireland,Townland
122,Adamstown,Baile Ádaim,Tipperary,Republic of Ireland,Townland
123,Adamstown,Baile Adáim,Waterford,Republic of Ireland,Townland
124,Adamstown,,Westmeath,Republic of Ireland,Townland
125,Adamstown,Maigh Arnaí,Wexford,Republic of Ireland,Town/Village
126,Adamstown Lower,Baile Adaim Íochtarach,Kilkenny,Republic of Ireland,Townland
127,Adamstown Upper,Baile Adaim Uactarach,Kilkenny,Republic of Ireland,Townland
128,Adamswood,Coill Adaim,Limerick,Republic of Ireland,Townland
129,Adare,Áth Dara,Limerick,Republic of Ireland,Town/Village
130,Addane,Ádán,Tipperary,Republic of Ireland,Townland
131,Addanstown,,Meath,Republic of Ireland,Townland
132,Addergoole,,Clare,Republic of Ireland,Townland
133,Addergoole,Eadargúil,Galway,Republic of Ireland,Townland
134,Addergoole,Eadargúil,Galway,Republic of Ireland,Townland
135,Addergoole,Eadargúil,Galway,Republic of Ireland,Townland
136,Addergoole,,Laois,Republic of Ireland,Townland
137,Addergoole,Eadargúil,Mayo,Republic of Ireland,Townland
138,Addergoole Beg,Eadargúil Bheag,Galway,Republic of Ireland,Townland
139,Addergoole More,Eadargúil Mhór,Galway,Republic of Ireland,Townland
140,Addergoole North,Eadargúil Thuaidh,Galway,Republic of Ireland,Townland
141,Addergoole South,Eadargúil Theas,Galway,Republic of Ireland,Townland
142,Addergoole West,Eadargúil Thiar,Galway,Republic of Ireland,Townland
143,Addergown,Eadarghabhain,Kerry,Republic of Ireland,Townland
144,Adderville,,Donegal,Republic of Ireland,Townland
145,Adderwal,Eadarbhaile,Donegal,Republic of Ireland,Townland
146,Addinstown,,Westmeath,Republic of Ireland,Townland
147,Addragool,Eadargúil,Galway,Republic of Ireland,Townland
148,Addrigoole,Eadarghabháil,Waterford,Republic of Ireland,Townland
149,Addroon,,Clare,Republic of Ireland,Townland
150,Aderavoher,Eadar Dhá Bhóthar,Sligo,Republic of Ireland,Townland
151,Adereen,Áth an Doirín,Leitrim,Republic of Ireland,Townland
152,Aderg,An tÁth Dearg,Mayo,Republic of Ireland,Townland
153,Aderrig,Áth Deirg,Dublin,Republic of Ireland,Townland
154,Admiran,Ard Mireann,Donegal,Republic of Ireland,Townland
155,Adoon,Áth an Dúin,Leitrim,Republic of Ireland,Townland
156,Adragool,,Roscommon,Republic of Ireland,Townland
157,Adramone Beg,Eadarmóin Bheag,Waterford,Republic of Ireland,Townland
158,Adramone More,Eadarmóin Mhór,Waterford,Republic of Ireland,Townland
159,Adraval,Eadarghabháil,Kerry,Republic of Ireland,Townland
160,Adrigole,Eadargóil,Cork,Republic of Ireland,Town/Village
161,Adrigool,Eadargóil,Cork,Republic of Ireland,Townland
162,Adrivale,Eadarghabháil,Cork,Republic of Ireland,Townland
163,Adruel,Eadrúill,Offaly,Republic of Ireland,Townland
164,Afaddy,Áth Fada,Kilkenny,Republic of Ireland,Townland
165,Affane,Áth Mheáin,Waterford,Republic of Ireland,Townland
166,Affane Hunter,Áth Mheáin,Waterford,Republic of Ireland,Townland
167,Affick,Áth an Phoic,Clare,Republic of Ireland,Townland
168,Affoley,An Athbhuaile,Tipperary,Republic of Ireland,Townland
169,Affollus,,Meath,Republic of Ireland,Townland
170,Affouley,An Athbhuaile,Kerry,Republic of Ireland,Townland
171,Afoley,,Laois,Republic of Ireland,Townland
172,Agall,Áth Gall,Offaly,Republic of Ireland,Townland
173,Aggard Beg,An tAgard Beag,Galway,Republic of Ireland,Townland
174,Aggard More,An tAgard Mór,Galway,Republic of Ireland,Townland
175,Agha,Achadh,Carlow,Republic of Ireland,Townland
176,Agha,Achadh,Cork,Republic of Ireland,Townland
177,Agha,Achadh,Kilkenny,Republic of Ireland,Townland
178,Aghabane,,Cavan,Republic of Ireland,Townland
179,Aghabeg,,Carlow,Republic of Ireland,Townland
180,Aghabeg,Achadh Beag,Cork,Republic of Ireland,Townland
181,Aghabeg East,Achadh Beag Thoir,Kerry,Republic of Ireland,Townland
182,Aghabeg Middle,Achadh Beag Meánach,Kerry,Republic of Ireland,Townland
183,Aghabeg West,Achadh Beag Thiar,Kerry,Republic of Ireland,Townland
184,Aghabehy,,Roscommon,Republic of Ireland,Townland
185,Aghaboe,Achadh Bhó,Laois,Republic of Ireland,Town/Village
186,Aghabog,Achadh Bog,Monaghan,Republic of Ireland,Townland
187,Aghaboneill,Achadh Boithe Néill,Leitrim,Republic of Ireland,Townland
188,Aghaboy,,Cavan,Republic of Ireland,Townland
189,Aghaboy,,Cavan,Republic of Ireland,Townland
190,Aghaboy,Achadh Buí,Longford,Republic of Ireland,Townland
191,Aghaboy,Achadh Buí,Monaghan,Republic of Ireland,Townland
192,Aghaboy,Achadh Buí,Offaly,Republic of Ireland,Townland
193,Aghaboy North,Achadh Buí Thuaidh,Monaghan,Republic of Ireland,Townland
194,Aghaboys,An tÁth Buí,Louth,Republic of Ireland,Townland
195,Aghaboy South,Achadh Buí Theas,Monaghan,Republic of Ireland,Townland
196,Aghabrack,Achadh Breac,Longford,Republic of Ireland,Townland
197,Aghabrack,,Westmeath,Republic of Ireland,Townland
198,Aghabrick,Achadh an Bhroic,Monaghan,Republic of Ireland,Townland
199,Aghabullogue,Achadh Bolg,Cork,Republic of Ireland,Town/Village
200,Aghaburren,Achadh Boireann,Cork,Republic of Ireland,Townland
201,Aghacarra,,Roscommon,Republic of Ireland,Townland
202,Aghacarrible,Áth an Charbaill,Kerry,Republic of Ireland,Townland
203,Aghacashel,,Cavan,Republic of Ireland,Townland
204,Aghacashel,Achadh an Chaisil,Leitrim,Republic of Ireland,Townland
205,Aghacashlaun,Achadh an Chaisleáin,Leitrim,Republic of Ireland,Townland
206,Aghaclay,Achadh Cléithe,Monaghan,Republic of Ireland,Townland
207,Aghaclogha,Achadh Clochach,Monaghan,Republic of Ireland,Townland
208,Aghacloghan,Áth an Chlocháin,Monaghan,Republic of Ireland,Townland
209,Aghaclogher,,Roscommon,Republic of Ireland,Townland
210,Aghacocara,,Westmeath,Republic of Ireland,Townland
211,Aghaconny,,Cavan,Republic of Ireland,Townland
212,Aghacoora,Achadh Chumhra,Kerry,Republic of Ireland,Townland
213,Aghacordrinan,Achadh Corr an Draighneáin,Longford,Republic of Ireland,Townland
214,Aghacreevy,,Cavan,Republic of Ireland,Townland
215,Aghacross,Áth Cros,Cork,Republic of Ireland,Townland
216,Aghacunna,Áth an Chonnaidh,Cork,Republic of Ireland,Townland
217,Aghacurreen,Achadh an Churraichín,Kerry,Republic of Ireland,Townland
218,Aghacurreen,,Roscommon,Republic of Ireland,Townland
219,Aghada,Áth Fhada Íochtarach,Cork,Republic of Ireland,Town/Village
220,Aghadachor,,Donegal,Republic of Ireland,Townland
221,Aghadaghly,,Donegal,Republic of Ireland,Townland
222,Aghadangan,,Roscommon,Republic of Ireland,Townland
223,Aghadark,Achadh Dearc,Leitrim,Republic of Ireland,Townland
224,Aghadaugh,,Westmeath,Republic of Ireland,Townland
225,Aghade,Áth Fhád,Carlow,Republic of Ireland,Townland
226,Aghadegnan,Achadh Duígeanáin,Longford,Republic of Ireland,Townland
227,Aghaderrard East,Achadh an Doire Aird Thoir,Leitrim,Republic of Ireland,Townland
228,Aghaderrard West,Achadh an Doire Aird Thiar,Leitrim,Republic of Ireland,Townland
229,Aghaderry,Achadh Doire,Monaghan,Republic of Ireland,Townland
230,Aghaderry,Achadh an Doire,Roscommon,Republic of Ireland,Townland
231,Aghadiffin,Achadh Dhuifín,Mayo,Republic of Ireland,Townland
232,Aghadoe,Achadh Fhada,Cork,Republic of Ireland,Townland
233,Aghadonagh,Achadh Dhonncha,Longford,Republic of Ireland,Townland
234,Aghadonagh,Achadh Donncha,Offaly,Republic of Ireland,Townland
235,Aghadooey Glebe,Achadh Dumhaí,Mayo,Republic of Ireland,Townland
236,Aghadoon,,Cavan,Republic of Ireland,Townland
237,Aghadoon,Achadh Dúin,Mayo,Republic of Ireland,Townland
238,Aghadouglas,Achadh Dúghlas,Offaly,Republic of Ireland,Townland
239,Aghadowey,,Donegal,Republic of Ireland,Townland
240,Aghadown,Achadh Dúin,Cork,Republic of Ireland,Town/Village
241,Aghadowry,Achadh Dúire,Longford,Republic of Ireland,Townland
242,Aghadreen,,Laois,Republic of Ireland,Townland
243,Aghadreenagh,Achadh Draighneach,Cavan,Republic of Ireland,Townland
244,Aghadreenagh,,Cavan,Republic of Ireland,Townland
245,Aghadreenan,,Donegal,Republic of Ireland,Townland
246,Aghadreenan,Achadh Draighneach,Monaghan,Republic of Ireland,Townland
247,Aghadrestan,,Roscommon,Republic of Ireland,Townland
248,Aghadrinagh,,Mayo,Republic of Ireland,Townland
249,Aghadrumcarn,Achadh Droma Cairn,Leitrim,Republic of Ireland,Townland
250,Aghadrumcru,Achadh Dhroim Cruabhair,Monaghan,Republic of Ireland,Townland
251,Aghadrumderg,Achadh Droma Deirg,Leitrim,Republic of Ireland,Townland
252,Aghadrumdoney,Achadh Dhroim Domhnaigh,Monaghan,Republic of Ireland,Townland
253,Aghadrumgowna,,Cavan,Republic of Ireland,Townland
254,Aghadrumgullin,,Cavan,Republic of Ireland,Townland
255,Aghadruminshin,Achadh Droma Uinseann,Leitrim,Republic of Ireland,Townland
256,Aghadrumkeen,Achadh Droma Chaoin,Monaghan,Republic of Ireland,Town/Village
257,Aghaduff,Achadh Dubh,Cork,Republic of Ireland,Townland
258,Aghadunvane,Achadh Dúin Bhánaigh,Leitrim,Republic of Ireland,Townland
259,Aghafad,,Cavan,Republic of Ireland,Townland
260,Aghafad,Achadh Fada,Longford,Republic of Ireland,Townland
261,Aghafad,Achadh Fada,Monaghan,Republic of Ireland,Townland
262,Aghafadda,Achadh Fada,Galway,Republic of Ireland,Townland
263,Aghafadda,Achadh Fada,Mayo,Republic of Ireland,Townland
264,Aghafarnan,,Meath,Republic of Ireland,Townland
265,Aghafin,,Laois,Republic of Ireland,Townland
266,Aghafin,Achadh Fionn,Longford,Republic of Ireland,Townland
267,Aghafin,Achadh Fionn,Monaghan,Republic of Ireland,Townland
268,Aghafin,Achadh Fionn,Offaly,Republic of Ireland,Townland
269,Aghafin,Achadh Finn,Roscommon,Republic of Ireland,Townland
270,Aghafin,,Westmeath,Republic of Ireland,Townland
271,Aghafin,,Westmeath,Republic of Ireland,Townland
272,Aghafore,Achadh Phóire,Cork,Republic of Ireland,Townland
273,Aghafoy,,Donegal,Republic of Ireland,Townland
274,Aghafullim,,Kildare,Republic of Ireland,Townland
275,Aghagad,,Roscommon,Republic of Ireland,Townland
276,Aghagad,,Sligo,Republic of Ireland,Townland
277,Aghagadda,,Kerry,Republic of Ireland,Townland
278,Aghagah,Achadh Ga,Longford,Republic of Ireland,Townland
279,Aghagally,Achadh Gallaigh,Monaghan,Republic of Ireland,Townland
280,Aghagashlan,,Cavan,Republic of Ireland,Townland
281,Aghagaw,Achadh Gá,Monaghan,Republic of Ireland,Townland
282,Aghagegna,Achadh na gCuigne,Cavan,Republic of Ireland,Townland
283,Aghaginny,Achadh Ghionaí,Leitrim,Republic of Ireland,Townland
284,Aghaglasheen,Achadh Ghlaisín,Mayo,Republic of Ireland,Townland
285,Aghaglass,Achadh Glas,Monaghan,Republic of Ireland,Townland
286,Aghaglassan,,Donegal,Republic of Ireland,Townland
287,Aghaglinny North,Achadh an Ghlinne Thuaidh,Clare,Republic of Ireland,Townland
288,Aghaglinny South,Achadh an Ghlinne Theas,Clare,Republic of Ireland,Townland
289,Aghagolrick,,Cavan,Republic of Ireland,Townland
290,Aghagoogy,Ard Guaige,Offaly,Republic of Ireland,Townland
291,Aghagooheen,Achadh Guithín,Cork,Republic of Ireland,Townland
292,Aghagower,Achadh Ghobhair,Mayo,Republic of Ireland,Town/Village
293,Aghagower,,Roscommon,Republic of Ireland,Townland
294,Aghagowla,,Roscommon,Republic of Ireland,Townland
295,Aghagowla Beg,Achadh Gabhla Beag,Mayo,Republic of Ireland,Townland
296,Aghagowla More,Achadh Gabhla Mór,Mayo,Republic of Ireland,Townland
297,Aghagrania,Achadh Ghráinne,Leitrim,Republic of Ireland,Townland
298,Aghagreagh,Achadh Gréach,Longford,Republic of Ireland,Townland
299,Aghagurty,Áth an Ghorta,Offaly,Republic of Ireland,Townland
300,Aghahull,,Donegal,Republic of Ireland,Townland
301,Aghakee,,Cavan,Republic of Ireland,Townland
302,Aghakeel,Achadh Caol,Longford,Republic of Ireland,Townland
303,Aghakeeran,Áth an Chaorthainn,Longford,Republic of Ireland,Townland
304,Aghakilbrack,Achadh Choille Breac,Leitrim,Republic of Ireland,Townland
305,Aghakilconnell,Achadh Coille Conaill,Leitrim,Republic of Ireland,Townland
306,Aghakilfaughna,Achadh Coille Fachna,Leitrim,Republic of Ireland,Townland
307,Aghakilmore,Achadh Coille Móire,Leitrim,Republic of Ireland,Townland
308,Aghakilmore,Achadh Cille Móire,Longford,Republic of Ireland,Townland
309,Aghakilmore Lower,Achadh Cille Móire Íochtarach,Cavan,Republic of Ireland,Townland
310,Aghakilmore Upper,Achadh Cille Móire Uachtarach,Cavan,Republic of Ireland,Townland
311,Aghakine,Achadh Cadhain,Longford,Republic of Ireland,Townland
312,Aghakinnigh,,Cavan,Republic of Ireland,Townland
313,Aghakista,Achadh an Chiste,Monaghan,Republic of Ireland,Townland
314,Aghaknock,,Cavan,Republic of Ireland,Townland
315,Aghalacka,An tÁth Leacach,Limerick,Republic of Ireland,Townland
316,Aghalackan,,Cavan,Republic of Ireland,Townland
317,Aghalahard,Achadh Leathard,Mayo,Republic of Ireland,Townland
318,Aghalahard,,Roscommon,Republic of Ireland,Townland
319,Aghalasty And Ankersland,,Westmeath,Republic of Ireland,Townland
320,Aghalateeve,Achadh Leataoibh,Galway,Republic of Ireland,Townland
321,Aghalateeve,Achadh Leataoibh,Leitrim,Republic of Ireland,Townland
322,Aghalattafraal,,Cavan,Republic of Ireland,Townland
323,Aghalattive,Achadh an Leataoibh,Donegal,Republic of Ireland,Townland
324,Aghalatty,Achadh an Leataoibh,Donegal,Republic of Ireland,Townland
325,Aghalaverty,Achadh Laifeartaigh,Monaghan,Republic of Ireland,Townland
326,Aghaleague,Achadh Liag,Leitrim,Republic of Ireland,Townland
327,Aghaleague,Achadh Liag,Mayo,Republic of Ireland,Townland
328,Aghalee Beg,Achadh Lao Beag,Kerry,Republic of Ireland,Townland
329,Aghalee More,Achadh Lao Mór,Kerry,Republic of Ireland,Townland
330,Aghalenane,,Sligo,Republic of Ireland,Townland
331,Aghalenty,,Donegal,Republic of Ireland,Townland
332,Aghalile,Áth Ó Líolaigh,Monaghan,Republic of Ireland,Townland
333,Aghalinane,Áth Uí Leannáin,Cork,Republic of Ireland,Townland
334,Aghalion,,Cavan,Republic of Ireland,Townland
335,Aghalisk,Achadh Loiscthe,Monaghan,Republic of Ireland,Townland
336,Aghaliskeevan,Achadh Lios Caomháin,Monaghan,Republic of Ireland,Townland
337,Aghalissabeagh,Achadh Leasa Beithe,Monaghan,Republic of Ireland,Townland
338,Aghaloaghan,,Meath,Republic of Ireland,Townland
339,Aghaloonteen,Achadh Lóintín,Mayo,Republic of Ireland,Townland
340,Aghaloory,,Cavan,Republic of Ireland,Townland
341,Aghalough,,Donegal,Republic of Ireland,Townland
342,Aghalough,Achadh Locha,Leitrim,Republic of Ireland,Townland
343,Aghalough,Achadh Locha,Monaghan,Republic of Ireland,Townland
344,Aghaloughan,,Cavan,Republic of Ireland,Townland
345,Aghaloughan,Achadh an Locháin,Longford,Republic of Ireland,Townland
346,Aghaloughan,Achadh an Locháin,Monaghan,Republic of Ireland,Townland
347,Aghalour,,Roscommon,Republic of Ireland,Townland
348,Aghalusky,,Mayo,Republic of Ireland,Townland
349,Aghalusky,Achadh Loiscthe,Offaly,Republic of Ireland,Townland
350,Aghalust,Achadh Loiste,Longford,Republic of Ireland,Townland
351,Aghalustia,Achadh Loiste,Roscommon,Republic of Ireland,Townland
352,Aghamackalinn,Achadh Mhic Giolla Eoin,Monaghan,Republic of Ireland,Townland
353,Aghamaddock,,Laois,Republic of Ireland,Townland
354,Aghamafir,,Laois,Republic of Ireland,Townland
355,Aghamannan,,Roscommon,Republic of Ireland,Townland
356,Aghamarta,Achadh Mhártain,Cork,Republic of Ireland,Townland
357,Aghameelick,Achadh Mílic,Offaly,Republic of Ireland,Townland
358,Aghameelta,Achadh Míolta,Leitrim,Republic of Ireland,Townland
359,Aghameelta Barr,Barr Achadh Míolta,Leitrim,Republic of Ireland,Townland
360,Aghameen,An tÁth Mín,Louth,Republic of Ireland,Townland
361,Aghameeny,Achadh Maonaigh,Leitrim,Republic of Ireland,Townland
362,Aghamilla,Achadh Meille,Cork,Republic of Ireland,Townland
363,Aghamore,,Laois,Republic of Ireland,Townland
364,Aghamore,Achadh Mór,Leitrim,Republic of Ireland,Town/Village
365,Aghamore,Achadh Mór,Longford,Republic of Ireland,Townland
366,Aghamore,Achadh Mór,Mayo,Republic of Ireland,Town/Village
367,Aghamore,,Meath,Republic of Ireland,Townland
368,Aghamore,Achadh Mór,Offaly,Republic of Ireland,Townland
369,Aghamore,,Roscommon,Republic of Ireland,Townland
370,Aghamore,,Roscommon,Republic of Ireland,Townland
371,Aghamore,,Westmeath,Republic of Ireland,Townland
372,Aghamore Far,,Sligo,Republic of Ireland,Townland
373,Aghamore Lower,Achadh Mór Íochtarach,Longford,Republic of Ireland,Townland
374,Aghamore Near,,Sligo,Republic of Ireland,Townland
375,Aghamore North,Achadh Mór Thuaidh,Kerry,Republic of Ireland,Townland
376,Aghamore South,Achadh Mór Theas,Kerry,Republic of Ireland,Townland
377,Aghamore Upper,Achadh Mór Uachtarach,Longford,Republic of Ireland,Townland
378,Aghamuck,,Roscommon,Republic of Ireland,Townland
379,Aghamucky,Áth an Mhuicí,Kilkenny,Republic of Ireland,Townland
380,Aghanacrinna,,Kerry,Republic of Ireland,Townland
381,Aghanageeragh,Achadh na gCaorach,Longford,Republic of Ireland,Townland
382,Aghanagh,Eachanach,Sligo,Republic of Ireland,Townland
383,Aghanagran Lower,Achadh na gCrann Íochtarach,Kerry,Republic of Ireland,Townland
384,Aghanagran Middle,Achadh na gCrann Meánach,Kerry,Republic of Ireland,Townland
385,Aghanagran Upper,Achadh na gCrann Uachtarach,Kerry,Republic of Ireland,Townland
386,Aghanahil,Achadh Leamhchoille,Galway,Republic of Ireland,Townland
387,Aghanahown,Achadh na hAbhna,Longford,Republic of Ireland,Townland
388,Aghanameena,Achadh na Míne,Monaghan,Republic of Ireland,Townland
389,Aghananimy,Achadh an Anama,Monaghan,Republic of Ireland,Townland
390,Aghanapisha,,Westmeath,Republic of Ireland,Townland
391,Aghanargit,,Westmeath,Republic of Ireland,Townland
392,Aghanascortan,,Meath,Republic of Ireland,Townland
393,Aghanashanamore,,Westmeath,Republic of Ireland,Townland
394,Aghanboy,,Kerry,Republic of Ireland,Townland
395,Aghancarnan,Achadh an Charnáin,Offaly,Republic of Ireland,Townland
396,Aghancarra,Achadh an Chartha,Leitrim,Republic of Ireland,Townland
397,Aghancon,Achadh Cinn Chon,Offaly,Republic of Ireland,Townland
398,Aghaneenagh,Áth Naíonach,Cork,Republic of Ireland,Townland
399,Aghangaddy Glebe,,Donegal,Republic of Ireland,Townland
400,Aghanlish,Achadh Sheanlis,Leitrim,Republic of Ireland,Townland
401,Aghanoran,Achadh an Fhuaráin,Longford,Republic of Ireland,Townland
402,Aghanrush,Achadh an Rois,Offaly,Republic of Ireland,Townland
403,Aghantrah,Achadh an tSratha,Longford,Republic of Ireland,Townland
404,Aghanure,,Carlow,Republic of Ireland,Townland
